餐厅名,种类,地址,评分,人均,链接
尚记老羊倌,火锅,香洲区情侣南路328号（青蓝山庄食街处）,5,56,https://www.meituan.com/meishi/1237792/
麻辣英雄重庆老火锅（夏湾店）,火锅,香洲区夏湾路19号（夏湾市场对面）,5,61,https://www.meituan.com/meishi/69894749/
牛福诚冒菜,火锅,金湾区美平东路1232号,4.1,31,https://www.meituan.com/meishi/69604120/
李世霸王牛肉火锅主题餐厅（珠海店）,火锅,香洲区金鸡路左右创意园内,4,59,https://www.meituan.com/meishi/65361425/
龙坛山庄,火锅,斗门区龙西村港霞西路龙坛水淋泵2号（即实验中学旁龙坛村口）,4.7,72,https://www.meituan.com/meishi/2536087/
赣香猪肚鸡火锅,火锅,金湾区金岛路205号（金海岸中学对面）,4,58,https://www.meituan.com/meishi/2215475/
重庆石锅鱼（兰埔店）,火锅,香洲区兰埔路125号（兰埔郵政银行正对面）,4,61,https://www.meituan.com/meishi/4624532/
海记潮汕鲜牛肉火锅,火锅,金湾区金海岸购物广场一楼（金海岸市场东车站旁）,3.5,44,https://www.meituan.com/meishi/195155191/
水禾轩·原汁原味蒸出健康（山场店）,火锅,香洲区银桦路178号11-16号商铺,4.1,75,https://www.meituan.com/meishi/167408397/
粥当家,火锅,香洲区紫荆路98号,3.4,54,https://www.meituan.com/meishi/195923803/
贝哥卜卜贝海鲜火锅,火锅,金湾区590县道中安街二巷24号,3.5,56,https://www.meituan.com/meishi/858417065/
六乘六私房重庆老火锅,火锅,金湾区北河一路傲视影城旁边158号铺,5,15,https://www.meituan.com/meishi/113277221/
清鲜阁四季养生火锅城,火锅,金湾区平沙镇聚然居3号2栋B201（邮政储蓄银行二楼）,3,88,https://www.meituan.com/meishi/169003434/
藏青蓝全牛宴,火锅,香洲区翠微西路688号（嘉园公交站对面）,0,95,https://www.meituan.com/meishi/938046773/
牛一道（井岸店）,火锅,斗门区滨江路140号,3.5,16,https://www.meituan.com/meishi/1019143283/
顺德福·牛花粥（前山店）,火锅,香洲区翠福路8号清华十二郡西门对面,3.8,56,https://www.meituan.com/meishi/169382570/
爱鱼者（奥园广场店）,火锅,香洲区奥园广场SY5–204,4.5,61,https://www.meituan.com/meishi/1665003290/
名门潮牛潮汕牛肉火锅全国专门店（诚丰店）,火锅,香洲区明珠南路诚丰广场2楼L208A-L209B,4,31,https://www.meituan.com/meishi/99985876/
罗一手四季牛肉火锅,火锅,斗门区井岸镇江湾一路119号（中国人民保险旁）,4.1,59,https://www.meituan.com/meishi/175134929/
熙藏传奇石锅鸡（香洲店）,火锅,香洲区梅华西路166号（西藏大厦一楼）,4.6,72,https://www.meituan.com/meishi/1901332630/
串功夫重庆火锅串串香（东坑店）,火锅,香洲区东坑村旅游路一号度假酒店后面（520奶茶隔壁）,0,58,https://www.meituan.com/meishi/175149433/
海里撸串串火锅（新香洲旺角店）,火锅,香洲区敬业路88号（心华路）,4.7,61,https://www.meituan.com/meishi/175480674/
源刘记大串悦小资味串串香（双城汇店）,火锅,香洲区珠海大道3989号105C商铺,4.1,44,https://www.meituan.com/meishi/177446736/
排怀芝士排骨,火锅,金湾区安基东路吉林大学珠海学院永合商业街56号店铺,3.7,75,https://www.meituan.com/meishi/76778198/
新顺昌休闲餐厅,火锅,斗门区斗门大道北280号（财政所对面）,3.5,54,https://www.meituan.com/meishi/90006003/
百素我家酸菜鱼（奥园广场店）,火锅,香洲区旅游路奥园广场购物中心五楼,4.4,56,https://www.meituan.com/meishi/177543371/
福味轩,火锅,香洲区柠溪路374号百合超市旁（妇幼保健院对面，南香里小区正门口）,4.7,88,https://www.meituan.com/meishi/99459313/
爱尚牛鼎记·潮汕牛肉火锅（横琴中央汇店）,火锅,香洲区香江路10号横琴中央汇商业街一楼,4.8,15,https://www.meituan.com/meishi/114032392/
老佛爷炭火蛙锅,火锅,香洲区华平路16-3号,4,95,https://www.meituan.com/meishi/179357864/
品迎记潮汕牛肉火锅,火锅,香洲区大塘新村26号,5,16,https://www.meituan.com/meishi/161120558/
蛙赛碳烤牛蛙,火锅,香洲区华平路61-63号（老磨坊隔壁）,4.3,56,https://www.meituan.com/meishi/162659098/
麻辣风云重庆老火锅（唐家店）,火锅,香洲区唐乐路唐家综合市场2楼,5,61,https://www.meituan.com/meishi/152368392/
海纳·牛肉火锅（夏湾店）,火锅,香洲区夏湾华平路103号（华平路与粤华路交叉口往夏湾市场方向走50米左侧）,4.7,31,https://www.meituan.com/meishi/96219201/
啊咕咔咔牛蛙大咖主题餐厅（金鼎店）,火锅,香洲区金鼎镇上栅大街上栅商业中心22号,3.4,59,https://www.meituan.com/meishi/163438479/
来壹锅羊庄,火锅,香洲区景莲街景山路59号,5,72,https://www.meituan.com/meishi/180075314/
王太爷冒菜,火锅,香洲区前山所前山明珠南路1161号之二（前山华润万家与诚丰广场之间商业街）,3.4,58,https://www.meituan.com/meishi/163449120/
天然居原生态农庄,火锅,香洲区唐家湾镇那谭线金鼎永丰社区石头岗63号（汇客百货南行50米）,3.5,61,https://www.meituan.com/meishi/164207177/
全汁好味驴庄,火锅,香洲区情侣南路358号,4.2,44,https://www.meituan.com/meishi/182383373/
厨先生·水晶焖锅,火锅,金湾区湖心路1138号家和城广场第二层2006-2007号铺位,3.5,54,https://www.meituan.com/meishi/164288529/
三麻九辣美蛙鱼头火锅店,火锅,香洲区环屏路2号广宏苑1楼11号商铺,5,75,https://www.meituan.com/meishi/164318337/
鲜牛牛牛肉店,火锅,香洲区华平路181号夏湾新村西北门对面,4.8,56,https://www.meituan.com/meishi/164567885/
